Name,Description,Country,URL,Depth,Latitude,Longitude,,
Maces Bay old wharf,"There are two remarkably different habitats found at this site. To the left of the wharf is the seaward side, I imagine this is the side the wind blows on almost 100% of the time, and to the right is extremely sheltered.<br>During this dive there were",CAN,,,45.116502,-66.47738,,
Mackerricher State Beach,,USA,https://opendivesites.org/Mackerricher_State_Beach,,39.489993,-123.802303,,
Madrona Point,,CAN,,,49.312429,-124.241263,,
Malaga Cove,,USA,https://opendivesites.org/Malaga_Cove,,33.803677,-118.394751,,
Malibu Road,,USA,https://opendivesites.org/Malibu_Road,,34.031273,-118.714218,,
Malpaso Creek,,USA,https://opendivesites.org/Malpaso_Creek,,36.481185,-121.938192,0,
Manini Beach,,USA,,,19.471229,-155.920684,0,
Maple Bay,"This is quite an easy dive. It featues rock reefs, docks, a large field of old glass bottles. Sealife consists of giant pacific octopi, ruby octopi, rock cod, rock crab, kelp crab. Visibility can be poor in the summer months, but it",CAN,,<80 ft,48.814616,-123.609659,,
Marathon Harbour,Dive the clear water of the bay and watch the bottom change as your head out into deeper water. The sunken logs and varied terrain make for a great navigation dive. Make sure your check out the old ship moorings in the bay as fish can be found swimming i,CAN,,,48.725562,-86.386092,,
Marden pond,This shallow pond (10ft) has some fish. A large snapping turtle has been seen.,CAN,,,43.577921,-80.313764,,
Martin Cove,,CAN,,,49.622638,-124.060729,,
Martinique Beach Dive Site,"Best diving is when there is low to no swell. So if you see surfers you are probably there on the wrong day! Shallow, sloping bottom.",CAN,,,44.690113,-63.141625,,
Massawippi Lake,,CAN,http://www.scubapedia.ca/index.php/Lac_Massawippi,,45.214546,-71.99959,,
McAbee Beach,,USA,https://opendivesites.org/McAbee_Beach,,36.615716,-121.899413,0,
McCullough Lake,This shallow lake offers a spot to get wet. With a sediment bottom you will see the most around the shoreline. By most I mean fish and weeds.  ,CAN,,,44.353883,-80.923258,,
McCurdy Point,,CAN,,<330ft,48.561051,-123.520938,,
McKenzie Point,"This dive site is found at the south end of Mark Lane. Follow Willis Point Road to get to Mark Lane, and when forced to decide left or right. Make a left to head south. There is not much parking at this dive site. Some times it is ful",CAN,,<110 ft,48.562616,-123.49875,,
McMicking Point,,CAN,,,48.410488,-123.303058,,
Meeks Bay,,USA,https://opendivesites.org/Meeks_Bay,,39.038425,-120.1223,,
Midland Bay park,,CAN,,,44.757831,-79.880061,,
Mill Cove Beach,"Frequently mistaken for Fox Point this beautiful beach dive has a wide variety of bottom types. The beach is sandy, but as you enter, small rocks cover the floor. The small rocks continue to b",CAN,,<30 ft.  ,44.587927,-64.062819,,
Mill Cove Wharf,,CAN,http://youtu.be/shT64m4h9VY,,44.580425,-64.054016,,
Mine Back,,CAN,http://www.scubapedia.ca/index.php/Mine_Back,,45.724616,-75.442766,,
Mine East-Amphi,"From Val d'Or Exit Val d'Or towards the west, via the 117 North<br>Cross Malartic<br>After the roundabout take the path of the firemen (the first on the left).<br>On the path of the firemen, turn left at the indication of the mountain bike track",CAN,,,48.148322,-78.153332,,
Minet's Point,"Experienced divers can take a straight out bearing from shore and dive the deepest sections of Lake Simcoe, while those that want to stay shallow can dive the ledge at between 15 to 30 feet. Providing Scuba Diving Adventures in Simcoe County.",CAN,,,44.37456,-79.670095,,
Moby Ling Beach,,USA,https://opendivesites.org/Garrapatta_State_Park,,36.454182,-121.925077,,
,,,,,,,,
Montmorency River,,CAN,http://www.scubapedia.ca/index.php/Rivi%C3%A8re_Montmorency,,46.901416,-71.169533,,
Morgan Lake,,CAN,http://www.scubapedia.ca/index.php/Lac_Morgan,,46.139516,-73.761183,,
Morgans Point,,CAN,,,42.852951,-79.345803,,
Morrison's Quarry,,CAN,,,45.612994,-75.908394,,
Mosses Point,"This dive site is found near the end of Mosses Point Road. A trail leads off to the solid rock beach. It is best dove at high tide, as at low tide it can be risky going down the solid rock. It might look easy, but the rock can be slipp",CAN, ,<50 ft.,48.689616,-123.485416,,
Moulds Bay,"This site is current free and an easy entry with a variety of life. A shallow rocky bottom drops to the edge of the narrow horseshoe-shaped cove, then<br>slopes quickly to 25 feet (8 meters). This is actually two distinctly different dives in one",CAN,,,50.14014,-125.19187,,
Mouth of the Medley,A gradual slope out to 30 ft then a noticable decent to 50ft  ,CAN,,<60 ft,54.604971,-110.18606,,
Mt. Gardner,"Enter from dock then surface swim toward ""elephant rock.""",CAN,,,49.401423,-123.380327,,
Mukilteo,,USA,https://opendivesites.org/Mukilteo,,47.94969,-122.301865,,
Murray Island,dive in 2 provinces by swimming east 250ft and back.,CAN,,<80 ft,54.62954,-110.007803,,
NAKWAKTO RAPIDS,"Divers enter the water ONLY at slack tide. Specific warning from divemaster to keep the island on the left, drop to 25-35 feet, and at 12-15 minutes into the dive exist on the lee side of the island. Failure to do so and there is no chan",CAN,,<40 ft.,51.096583,-127.503233,,
Navarro Beach,,USA,https://opendivesites.org/Navarro_Beach,,39.188971,-123.757856,,
Navy Hall dive,,CAN,,,43.250659,-79.059348,,
Neck Point,"If coming from the Ferry Terminal make a left onto Brechin Road just as you leave the Departure Bay Ferry Terminal area. Follow it up to the lights, staying on the right side of the road. When you get to the lights you will be maki",CAN,,<90 ft,49.236616,-123.963733,,
Neils Harbour,  ,CAN,,<60 ft,46.80735,-60.329016,,
New Harbour-Whaling Station,"The north side of New Harbour held a Whaling Plant through the 50's and 60's. The buildings are long gone, but some bones remain in the cove. Two partially intact whale skulls are located about whe",CAN,,45ft,44.473952,-64.08896,,
New River Beach,"At high tide the water access is fairly close to the parking area, however on low tide it can be quite a walk to the water's edge.<br>Incoming tide will be easier to swim back in to shore. The bottom is rocky/sandy and changes to a silty/muddy bottom if",CAN,,,45.130226,-66.527097,,
Newport Pier,,,,<100 ft,33.607058,-117.929498,,
Nicholas Canyon,,USA,https://opendivesites.org/Nicholas_Canyon,,34.043142,-118.917445,,
Nipigon Lagoon,The Nipigon Lagoon offers an amazing sheltered dive with artefacts galore. Check out the old cars and chart on the bottom while you dive with schools of fish. Recently reopened to the river the clarity of the lagoon has improved and so has the fish stock,CAN,,,49.015019,-88.258177,,
North Deerfield Beach,,,,,26.317493,-80.074867,,
North Monastery,,USA,https://opendivesites.org/North_Monastery,,36.52521,-121.92538,0,
Noyan,,CAN,http://www.scubapedia.ca/index.php/Noyan,,45.068583,-73.324466,,
Noyo Beach,,,https://opendivesites.org/Noyo_Beach,,39.42894,-123.809224,,
Nuns' Lake,"Located in the Val-Senneville area, 10 minutes from Val-d'Or, Nuns Lake is accessible from the intersection of Chemin Val-du-Repos and Rue du Souvenir.<br><br>A major enhancement project was carried out in the early 2000s with the planting of rainbow tro",CAN,,,48.180594,-77.719922,,
Oak Leaf,"This new site is a great location for diving, as well as a place to enjoy a picnic. This is a beautiful point of land, boasting excellent views, and is sure to become one of your favorite sites.<br><br>To get there just follow Hwy 19 North from Nanaimo,",CAN,,,49.301465,-124.170066,,
Oakland Park Reef,,,,,26.16774,-80.097602,,
Ocean Cove,,USA,https://opendivesites.org/Ocean_Cove,,38.554742,-123.303566,,
Ocean Inlet Park,,,,,26.544178,-80.042973,,
Ocean Reef Park,,,https://opendivesites.org/Ocean_Reef_Park,,26.793927,-80.03147,,
Ogden Point Breakwater,"The Ogden Point Breakwater is an 800-metre long breakwater constructed of stacked granite blocks and concrete. Although the breakwater is a marine sanctuary, line fishing is allowed; be alert for fishing gear on the bottom and overzealo",CAN,,<120 ft,48.415138,-123.385016,,
Old Cable Wharf Site,,CAN,,,44.671207,-63.590643,,
Old canal,some structure remains in shallow water,CAN,,,43.203052,-79.270465,,
Old Docks,,CAN,,,44.711682,-75.505803,,
Old Fort Erie,,CAN,,,42.891226,-78.922668,,
Old Grimsby Pier,,CAN,,,43.193923,-79.527764,,
Old Marineland East,,USA,https://opendivesites.org/Old_Marineland,,33.73873,-118.393841,,
Old Marineland West,,USA,https://opendivesites.org/Old_Marineland,,33.736312,-118.397346,,
Orford Lake,,CAN,http://www.scubapedia.ca/index.php/Lac_Orford,,45.289958,-72.275524,,
Otonabee River,Easy dive. Very suitable for beginners just starting out. The visibility is good. Stay closer to the shore to stay out of the boating channel  Depth 20ft,CAN,,,44.37533,-78.284013,,
Ovens Point-Rose Bay,,CAN,,<50 ft.,44.315283,-64.25805,,
Paddy's Head,,CAN,https://www.youtube.com/watch?v=st-OGn13NQY,,44.526112,-63.948031,,
Paddys Head Rd,"Paddy's Head is a small cove located near Peggy's Cove that is usually sheltered from the weather. It is frequently used by divers year round, day or night. It is well suited for the skill level of the Novice Diver, but should be experienced",CAN,,,44.526041,-63.948245,,
"Panmure Ledge, Panmure Island",Off of the Panmure Island lighhouse is a rocky ledge that hosts a wide array of sealife. Its accessible from shore and a nice easy dive in 10-18 feet of water. Lots of parking and the mile long beach and warm water is a great place to spend the day once,CAN,,,46.142951,-62.464172,,
PARADIS MARIN,,CAN,,60ft,48.278718,-69.452506,,
Parc Colborne,Free access to the beach and reported to be the best free diving in the area. ,CAN,,,48.217668,-64.772351,,
Partington Cove,,USA,https://opendivesites.org/Partington_Cove,,36.175251,-121.697238,,
Patricia Lake,,CAN,,<120 ft,52.907188,-118.093685,,
Patrick Point,,USA,https://opendivesites.org/Patrick_Point,,41.14068,-124.149379,,
Peanut Island,,,https://opendivesites.org/Peanut_Island,,26.772367,-80.043638,,
Pelican and Hampshire ,May sti need to be found These two warships from a French-English battle in 1697 if not the ones listed in Navionics have never been located and may be buried under the silt from the Hayes River. If you feel like a wreck hunter this might be for you.,CAN,,,57.140069,-91.980529,,
Perkins Park,,USA,https://opendivesites.org/Otter_Cove,,36.628465,-121.921564,,
Perry Street,,,,,26.047383,-80.112436,,
PETIT GASPÉ,,CAN,,<40 ft.,48.804383,-64.246416,,
Pfeiffer Beach,,USA,,,36.237708,-121.815599,,
Pier of Pointe-au-Pere,"Pointe-au-Père wharf has become the most immersed marine site in the Rimouski region. Hundreds of students made their first dives there. It was not a particularly rich or spectacular site, but its proximity to the city of Rimouski and the fact that it w",CAN,,,48.517418,-68.472268,,
Pill Point Wall,,CAN,,<140 ft,48.96475,-125.076066,,
Point Clark,If you need to get wet and like looking at rocks this might be for you. Depths are under 8ft for about as far as you want to swim. Be aware of boat traffic as you will often be just bellow the surface. ,CAN,,,44.071452,-81.760494,,
Point Dume State Beach,,USA,https://opendivesites.org/Point_Dume,,34.001645,-118.809024,,
Point Joe,,USA,,,36.609619,-121.95756,,
Polly's Cove,,CAN,https://lh5.googleusercontent.com/proxy/ppkHCVswJloe-HGvma1fkGsw8tuLjAcueSNnDKSbE0dn0PNMW3bb6GdlbXejqa9xslquCRKrqXQSbgHbK8LJ2_5o3T618_KV6ohZWVNhgaFoeDhKr42yB3AtVsPDaY2-gLsSA7Y7urit3kJAUPUToaeNc6UF67h8pfMdR7qz8PJZqZEAJqfsICiRaAQw0YE3J_EGz7g70w_d,,44.493433,-63.889849,,
Pompano Beach,,,,,26.236111,-80.087647,,
Pond Inlet/Baffin Island,Dive on the flow edge or perhaps inside an Iceburg...     https://arctickingdom.com/trip/baffin-island-dive-safari/,CAN,,,72.708692,-77.957873,,
Porteau Cove,"Provicial marine park, there is number of small wrecks to see (Granthall wreck, Nakaya wreck...), lots of fish life. Easy access with changing rooms; washrooms",CAN,,<100 ft,49.55962,-123.235295,,
Porteau Wall,"Shore Dive. Wall reaching 90'.  Only accessible with permission of the park ranger, during the winter. Park near the entrance to the walk-in campsites then walk to the far end of the walk-in sites to enter the water.",CAN,,,49.552097,-123.23817,,
Portugese Beach,,USA,,,38.379989,-123.081482,,
Posession Point,,USA,https://opendivesites.org/Possession_Point_Fingers,,47.907315,-122.376498,,
PPP Reef Ball Site,,CAN,,,44.622571,-63.563258,,
Prescott Scuba Park,,CAN,,,44.708179,-75.513053,,
Prospect Bay,"The Prospect Government Wharf dive site is fairly large, with lots of places to explore. The wharf is sheltered from wind, and the maximum depth is about 35ft at high tide, making this an excellent novice level dive site. The entry point is",CAN,,,44.469052,-63.784045,,
Prospect Point,,CAN,,,42.86393,-79.049107,,
Pt Pinos,,USA,https://opendivesites.org/Point_Pinos,,36.637041,-121.931417,0,
Pt Pinos,,USA,https://opendivesites.org/Point_Pinos,,36.637125,-121.936396,0,
Pt Pinos,,,https://opendivesites.org/Point_Pinos,,36.636934,-121.933196,0,
Pukaksaw National Park,"Gear up at the visitor centre beach and head out for a wonderful dive. Start in the shallows of the visitor centre bay, head out through the channel. Make sure you take your time and check out the quarts veins running along the walls of the channel. Regr",CAN,,,48.589587,-86.292958,,
QUARTZITE LAKE,,CAN,,<30 ft.  ,52.940633,-66.932083,,
QUATHIASKI COVE,Quathiaski Cove is the commercial hub and point of arrival for the regular ferry service between Campbell River on Vancouver Island and Quadra Island. To get to the site you will have to travel off the ferry to Green rd then follow,CAN,,<100 ft,50.049416,-125.222333,,
Queens Royal Park,,CAN,,,43.256356,-79.069256,,
Race Rocks,"Race Rocks is one of Victoria's most popular charter destinations, and for a good reason. Race Rocks is well known for the many California and Stellar Sea Lions that hang out on the rocks. These very curious and playful guys will follow you around and ev",CAN,,,48.304331,-123.526705,,
Racoon Island,Boat launch at Rocky Point Marina in Port Moody. Launch Kayak from Belcarra park or Deep Cove. Racoon Island is about 1 km Northwest of the mouth of Bedwell Bay. Anchor in 60 to 100 feet of water (sand bottom) to north of Island.,CAN,,<110 ft,49.34045,-122.904216,,
Rattlesnake Bar,,USA,,,38.768727,-121.115797,,
Red Reef Park,,,,,26.360668,-80.06843,,
Redberry Lake,"This is a quiet lake. There is a sailing club that uses the lake, they are based on the east side of the lake.  Visibility was ~10 feet, it was cold. ",CAN,,,52.696044,-107.142294,,
Redondo Beach,,,https://opendivesites.org/Redondo_Beach,,47.348613,-122.324447,,
Redondo Beach,,USA,https://opendivesites.org/Redondo_Beach,,47.349332,-122.324105,,
Reef Point,,USA,https://opendivesites.org/Reef_Point,,33.564101,-117.828803,,
Renate's Reef,,CAN,,,48.410966,-123.306966,,
Ribera Rd,,USA,https://opendivesites.org/Carmel_River_Beach,,36.530206,-121.925616,,
Riviera Beach,,,https://opendivesites.org/Riviera_Beach,,26.787759,-80.031564,,
ROCHE CARREE,,CAN,,<50 ft.,48.507783,-64.17045,,
"Rock Cove, The Quay",,CAN,"http://www.scubapedia.ca/index.php/Anse_de_Roche,_Le_Quai",,48.21815,-69.874783,,
Rocky Point,"If you're starting out from the ferry terminal you need to get on to and follow Hammond Bay Road, and assuming your coming from the south, make a right onto Entwhistle Road and follow it until you can make a right onto Fillinger Cresc",CAN,,<50 ft.,49.23975,-123.99005,,
Rondezvous House Reef,This dive site is right off the dock of Rendezvous Dive Adventures Ltd. This remote dive resort can only be reached by boat and is open virtually all year round.                           An area marked by varied terra,CAN,,<100 ft,48.968049,-125.023443,,
Rose Castle,,CAN,,<140 ft,47.601236,-52.9649,,
Rubicon Point,,USA,https://opendivesites.org/Rubicon_Point,,38.998999,-120.098298,,
Russian Gulch,,USA,https://opendivesites.org/Russian_Gulch,,39.325569,-123.804683,,
SACACOMIE,,CAN,,<260ft,46.51795,-73.229383,,
Saltwater State Park,,USA,https://opendivesites.org/Saltwater_State_Park,,47.372276,-122.324667,,
San Carlos Beach,,USA,https://opendivesites.org/San_Carlos_Beach,,36.609646,-121.895131,0,
Sand Dollar Beach,,USA,,,35.921253,-121.470321,,
Sand Harbor,,USA,https://opendivesites.org/Sand_Harbor,,39.197254,-119.932011,,
Sandy Cove,Lots of marine life.  Sand and rock bottom. Depths to 40ft off the beach deeper farther out. easy entrance  (thanks for sharing Fiona),CAN,,,44.461713,-63.708343,,
Sandy Cove,,CAN,https://www.youtube.com/watch?v=tEeKc66Wy3s,,44.461728,-63.707979,,
Sandy Cove Light House,,CAN,,,44.460178,-63.705672,,
Sandy Point Lighthouse,Old ferry wharf at the base of the lighthouse. an older wharf is about 300ft downstream,CAN,,,45.488768,-76.434202,,
Santa Cruz Municipal Wharf,,USA,https://opendivesites.org/Santa_Cruz_Municipal_Wharf_(Wharf_2),,36.962028,-122.023283,,
"Scallop diving, Beach Point, PEI",Divers are able to recreationally dive for scallops off of PEI and divers have had some success finding scallops in this area. Scallops are found in between 40-50 feet of water. <br> Recreational scallop licen,CAN,,,46.036068,-62.476569,,
Scatchet Head,,USA,https://opendivesites.org/Scatchet_Head,,47.912847,-122.419843,,
Scripps Canyon,,USA,https://opendivesites.org/Scripps_Canyon,,32.870571,-117.253166,,
Sea Lion Rocks,,,,,38.9373,-123.727727,,
Sea Ranch,,USA,https://opendivesites.org/Sea_Ranch,,38.703545,-123.446035,,
"Seal River Bridge, Cardigan, PEI",This is a great shore dive spot in eastern PEI featuring lots of lobster and sealife including sponges and other plant life. Entry is from shore via the private lot just past the bridge. Max Depth at high tide is around 22-23 feet just in front of the br,CAN,,,46.229323,-62.537571,,
Seal River Heritage Lodge,"Just a swim unless you take SCUBA with you...  Every July and August on the Seal River—just north of Churchill, Manitoba—Belugas arrive in their thousands to breed, and stuff themselves full of capelin. The folks at Seal River Heritage Lodge will gl",CAN,,,59.152541,-94.782966,,
Seymour Landing,,CAN,,<100 ft,49.341622,-123.356879,,
Shadow Clifs Reservoir,,USA,,,37.669736,-121.839934,,
Shanty Bay,,CAN,,,44.407148,-79.579976,,
Sharbot Lake,The visibility was low and the water is cold. This is a spring fed lake and once you drop below 18' the temperature drops dramatically. Depth to 60ft,CAN,,,44.77479,-76.72476,,
Shaw's Cove,,USA,https://opendivesites.org/Shaw%27s_Cove,,33.54574,-117.798636,,
Shell Lake,"Said to be not for the faint of heart! Visibility is a trade off with temperature. If you can handle the cold dive as early in the year as possible to avoid the algae. Max depth was 42 feet, average was 35 feet. Most of what we saw was lake trash but som",CAN,,,53.208527,-107.160623,,
Shelter Cove,,USA,https://opendivesites.org/Shelter_Cove,,40.02441,-124.065145,,
Sherkston Quarry,track and oar cars ,CAN,,,42.869198,-79.134166,,
Shoepack Bay Portage...,Cribbing from an old dock starts in the shallow water then drops quickly to 90ft. You can find old bottlesw and other items as well as exploring the old cribbing. The portage was ussed in the 1800's.,CAN,,,46.161842,-82.361629,,
Sidney Waterfront,"This dive site is located right downtown in Sidney at the end of Beacon Avenue. There is a park here at the water front. Just look for the beach, and the stairs leading into the water. This is also one of the few dive locations where t",CAN,,<70 ft,48.648216,-123.3935,,
Sigma 2,A little challenging to find.,CAN,,<270ft,48.068216,-77.458683,,
Silver Islet Dock,This channel dive offers clear visibility and a diverse diving environment. When the wind picks up the restricted channel offers some amazing drift diving. There is a potential to find historical artefacts on each dive from bottles to miner and voyageurs,CAN,,,48.330317,-88.8201,,
Silver Lake,Access is through the trailer park. this is a shallow sediment bottom lake with a few small objects on the bottom but a good population of freshwater clams,CAN,,,44.086593,-81.420615,,
Skaneateles Boat Launch,,,,,42.910753,-76.421711,0,
Skull Cove,,CAN,,,44.665898,-63.579595,,
Smuggler's Cove,Must ask permission from strata to enter area.,CAN,,,49.415426,-123.339268,,
Sonoma State Park,,USA,https://opendivesites.org/Sonoma_State_Park,,38.405703,-123.099214,,
South Beach Park,,,,,26.110039,-80.104097,,
South Cove,,USA,,,38.586631,-123.341692,0,
South Deerfield Beach,,USA,,,26.31391,-80.07523,,
South Inlet Park,,,,,26.334627,-80.071864,,
South Jetty,,USA,https://opendivesites.org/South_Jetty,,40.757016,-124.236744,,
South Monastery,,USA,https://opendivesites.org/South_Monastery,,36.52274,-121.928245,0,
Spanish Bay,,USA,https://opendivesites.org/Spanish_Bay,,36.618541,-121.941745,,
Spanish Bay,,USA,https://opendivesites.org/Spanish_Bay,,36.60876,-121.951443,,
Spanish Mills,"Debris from the old logging community lay scattered around the area. starting at the3 east entance to little detroit to the area in front of the cottage you can find spittoons, chain, wagon wheels and more.",CAN,,<100 ft,46.141367,-82.372633,,
Spoon Cove,,CAN,,,47.649015,-53.202508,,
St Clair Drift (short superman),Enter here and exit just beyond the Bluewater bridge,CAN,,,43.00112,-82.418311,,
St Mary's Quarry,This quarry is fenced but has a gate on the south west corner that when open allows entry to the quarry. ,CAN,,,43.24827,-81.150624,,
St-Timothée Islands Park,,CAN,http://www.scubapedia.ca/index.php/Parc_Des_Iles_de_St-Timoth%C3%A9e,,45.29205,-74.053533,,
St-Valere Quarry,"The launch on this site is very easy. The lake is very close to the path. Many sunfishes can be seen in the shallow end. There is a lot of kicking to do to get to the deepest part, to the north. We quickly touch the bottom to 30 feet. Visibility varies f",CAN,,,46.094833,-72.136316,,
St. Margaret's Bay Look Off,,CAN,,,44.656779,-63.946867,,
Staircase,,USA,https://opendivesites.org/Staircase,,34.046942,-118.950651,,
"Ste-Rose-du-Nord, the Quai",,CAN,"http://www.scubapedia.ca/index.php/Ste-Rose-du-Nord,_le_Quai",,48.383666,-70.587983,,
Stillwater Cove,,USA,https://opendivesites.org/Stillwater_Cove_(Sonoma),,38.546955,-123.29751,,
Stillwater Cove,,USA,https://opendivesites.org/Stillwater_Cove,,36.566255,-121.942909,0,
Strubel Lake,"Struble is a fun little lake south of the town of Rocky Mountain House. This lake reaches depths of 40ft, if you look hard enough, lol, but has lots of fish and no motor boats!",CAN,,,52.204226,-115.002195,,
Stump Beach Cove,,USA,https://opendivesites.org/Salt_Point,,38.581484,-123.335707,,
Sylvan Lake,Sylvan Lake has a divers park! Located west end of town in the summer village of Norglenwold at the end of Grand Avenue. ,CAN,,,52.319268,-114.112245,,
Sylvia Grinnell River,Adventure with Arctic Kingdom diving.  https://arctickingdom.com/trip/scuba-diving-in-the-arctic/ ,CAN,,,64.000871,-68.739159,,
Ten Mile Point,"This is one of Victoria's best diving locations, and is accessible by shore. But because of the currents here, it is better done as a boat dive. Only sometimes, does the current here actually stop. And usually not for long. Of course,",CAN,,<70 ft,48.455278,-123.266001,,
The Bluff,Very big lobsters with claws sometimes as big as a man's hand,CAN,,<100 ft,44.348166,-64.224565,,
The Breakers,,,https://opendivesites.org/The_Breakers,,26.714976,-80.032982,,
The Fingers,,USA,https://opendivesites.org/The_Fingers,,44.615835,-124.062589,,
The Fish Shack,"Deep to the left. Shallow to the right. Same rocks etc got to 70ft to the left. About 45* out off the beach  The path down to the shoreline is around the right side of the FISH SHACK, and is a short scramble down small boulders t",CAN,,<110 ft,44.575087,-64.04351,,
The Lodge,The Lodge is a relatively large dive site and is not sheltered from the weather like one would expect to find diving in a cove site. Due to its exposure in St. Margaret's Bay this site is dove best under west or south-westerly winds. There is,CAN,,,44.55833,-64.031681,,
The Marine Room,,USA,,30ft,32.852433,-117.261278,,
The Steps,,,https://opendivesites.org/Carmel_River_Beach,,36.528947,-121.925354,,
The Wedge,,,,0-35ft,33.593714,-117.881726,0,
Thompson Hole ,Enter here to start the dive,CAN,,,42.908222,-78.909448,,
Three Tree Point,,USA,https://opendivesites.org/Three_Tree_Point_North,,47.45217,-122.379502,,
Timber Cove,,USA,https://opendivesites.org/Timber_Cove,,38.532795,-123.273628,,
Titan I ICBM Complex,,USA,https://opendivesites.org/Titan_I_ICBM_Complex,,46.907392,-119.755735,0,
Titlow Beach,,USA,https://opendivesites.org/Titlow_Beach,,47.246737,-122.553837,,
Toby Island,,CAN,,,49.488696,-124.665421,,
Tracadie Beach,"known to the locals as Pogey Beach this is a great sheltered dive site that features a large array of sea life, including lobsters, flounder and American eels. Eels can be found in the summer time just feet off of the beach in either direction. Very easy",CAN,,,46.408771,-63.039438,,
Trinidad State Beach,,USA,https://opendivesites.org/Trinidad,,41.066705,-124.151242,,
Tugs dive site,,CAN,,,45.256563,-81.66269,,
Turtle Reef,,,,,26.322723,-80.074109,,
Tuwanek,,CAN,,<120 ft,49.546201,-123.76509,,
Twin Lakes,"Many mysteries lie beneath the fridged and often murky waters that consume Twin Lakes. Among the oddities you will find are an old computer screen & keyboard, lobster traps, sink, old wooden boat, newer sunk fiberglass boat, a mannequi",CAN,,<110 ft,52.949814,-114.364628,,
Two Jack Lake Day Use Area,"Two Jack Lake is used primarily for training. It is small – you can walk around it in less than an hour – and shallow, no more than 50 feet (15 m). However, the depth is deceiving. Altitude diving",CAN,,<50 ft.,51.229325,-115.497775,,
Two-Step,,USA,,,19.42284,-155.911512,0,
Tyee Beach Parking,Follow the Island Highway from Nanaimo. Then turn off at Nanoose Bay onto Northwest Bay Road then follow it until you can make a right onto Steward Road. Follow it until it turns into Davenham Road then into Dolphin Drive and then,CAN,,<150ft,49.289712,-124.141066,,
Underwater Caverns,This site requires a long walk with gear then you swim out to the wall where it drops into about 30-35 ft. There are several small caverns along the wall. ,CAN,,,45.265127,-81.637745,,
Ungerman Park,Old POW camp,CAN,,,44.924254,-79.390102,,
Unisol,,CAN,,30ft ,48.337933,-64.665432,,
Unknown,A small pleasure craft and some old wooden ship wreckage are here. When traveling north from Little Detrouit Passage after rounding the first point enter the little bay just before the small rock islands. The wreckage is 100ft off the st,CAN,,<40 ft.,46.152007,-82.370153,,
Unnamed,,USA,,,36.595814,-121.961726,,
UPPER KANANASKIS LAKE,,CAN,,<120 ft,50.61114,-115.124986,,
Usal Beach,,USA,https://opendivesites.org/Usal_Beach,,39.830208,-123.850616,0,
Van Damme State Park,,USA,https://opendivesites.org/Van_Damme_State_Beach,,39.273614,-123.791666,,
Vermont,Curent 1-2 knots.,CAN,,<30 ft.  ,45.064816,-73.32975,,
Veteran's Park,,USA,https://opendivesites.org/Redondo_Beach_(LA),,33.836059,-118.390528,,
VIEUX QUAI DU FRANQUELIN,Current 1-2 knots.,CAN,,,49.27895,-67.94185,,
VIEUX QUAI DU GODBOUT,Current 1-2 knots.,CAN,,<40 ft.,49.321166,-67.5895,,
Vista Park,,,,,26.163363,-80.098164,,
VT100 Parking,,CAN,,,49.322129,-122.907021,,
Waldo Lake,,USA,https://opendivesites.org/Waldo_Lake,,43.691872,-122.043516,,
Wall Beach Parking,Park at the end of the street and follow the short path 20 to 30 ft to shore,CAN,,<85 ft,49.302467,-124.217026,,
Wallace Cove,"This is an easy dive site with no significant current. One way to dive it is enter at the beach and follow the rocky point of land on the right side, you can follow it right around to a beach on the other side. You can exit there but it is more difficult",CAN,,,45.043236,-66.809138,,
Walton Gypsum Quarry,"This is an interesting freshwater dive as the gypsum quarry changes the pH of the water and the quarry is spring fed, making visibility uncharacteristically good. It is usually 15 m and I've never seen l",CAN,,<60 ft,45.226633,-63.98765,,
Wanapitea or Alvin A Turner,Identity not confirmed. The site has a current that changes direction. Rudder and boiler tubing on the north bank.,CAN,,20-30ft,46.14698,-82.37467,,
Watcomb Pit,"The underwater cliffs and warm, crystal clear water (20+ foot visibility) makes for a fun dive. The pin marks the ramp you can drive to get your gear into the water. The more common swimming/cliff jumpi",CAN,,80ft,49.841368,-91.354587,,
Waterford Ponds,,CAN,,,42.93238,-80.314257,,
Waverly Beach park,,CAN,,,42.881101,-78.939588,,
Welland lift bridge,,CAN,,,42.975517,-79.256271,,
Welland Scuba Park,,CAN,,,42.979167,-79.256389,,
West Dover Wharf,,CAN,https://www.youtube.com/watch?v=LCmZaMPJV3w,,44.492399,-63.868423,,
West Hawk Lake Campground,,CAN,http://www.scubapedia.ca/index.php/Barge_de_Cap-Chat,,49.745745,-95.212719,,
West Oliver Lake,West Oliver is a fun dive site and is used as a local training sites. Tables and a swim through are located at 30 feet to help with skill training and review. Divers can follow the underwater cable and swim with schools of Bass at 40 feet. Located at the,CAN,,,48.267102,-89.606148,,
West Stairs,,USA,https://opendivesites.org/Otter_Cove,,36.630766,-121.92229,,
Whaler's Cove,,USA,https://opendivesites.org/Whaler%E2%80%99s_Cove,,36.520402,-121.94045,0,
Whiskey Cove Entry,"Access to dive site is about 1 km north Belcarra Park in Port Moody. Parking is limited to 3 or 4 vehicles and access is limited to daylight hours unless special permission is granted. About 100 meters of gently sloping, forested",CAN,,<100 ft,49.320979,-122.926401,,
Whiskey Cove Parking,,CAN,,,49.321688,-122.925382,,
